Candidate ID|Office ID|Election ID|Office Name|Allowed Votes|Candidate First Name|Candidate Last Name|Candidate Credentials|Candidate Bio
1|1|1|Treasurer|1|Gabriel|Lawrence|EdD|With a background in psychology and a passion for helping others unlock their full potential, this individual has dedicated their career to the field of coaching and personal development. Through their transformative coaching programs and workshops, they have empowered countless individuals to overcome obstacles, achieve their goals, and live lives of fulfillment and purpose. Their unique blend of empathy, insight, and practical wisdom has made them a trusted guide and mentor to clients seeking to create positive change in their lives.
2|2|1|President|1|Billy|Howard|MPA|
3|2|1|President|1|Justin|Stewart|DVM|
4|2|1|President|1|Amy|Bishop|DPT|
5|2|1|President|1|Anna|Rodriguez|DPT|
6|3|1|Secretary|1|Catherine|Reed||With a background in finance and a keen eye for detail, this individual has established themselves as a trusted advisor in the world of investment management. Their strategic insights and prudent decision-making have consistently delivered strong returns for their clients, earning them a reputation as a savvy investor and a thought leader in the financial sector.
7|4|2|Treasurer|1|Dylan|King||
8|4|2|Treasurer|1|Laura|Mitchell|PharmD|
9|4|2|Treasurer|1|Zachary|Turner||
10|5|2|Secretary|1|Aaron|Gonzalez|MSL|
11|5|2|Secretary|1|Betty|Hanson||
12|6|2|Vice President|1|Mary|Reed||With a background in psychology and a passion for mental health advocacy, this individual has dedicated their career to breaking down stigma and expanding access to quality mental healthcare services. Their work in community outreach and counseling has provided support and healing to countless individuals navigating life's challenges.
13|6|2|Vice President|1|Roger|Jackson|MA|
14|7|3|President|1|Maria|Ortiz||
15|7|3|President|1|Richard|Brown|PharmD|
16|7|3|President|1|Christian|Black|PsyD|
17|8|3|Vice President|1|Sarah|Wagner||
18|8|3|Vice President|1|Alan|Olson||
19|8|3|Vice President|1|Noah|Moreno||
20|8|3|Vice President|1|Ronald|Shaw||
21|9|3|Secretary|1|Betty|Garrett|DDS|
22|10|4|Secretary|1|Shirley|Bailey||
23|10|4|Secretary|1|Vicki|Hernandez||
24|10|4|Secretary|1|Amanda|Hudson|DDS|
25|11|4|Treasurer|1|Patrick|Warren|MSW|
26|11|4|Treasurer|1|Jason|Shaw||
27|12|5|Secretary|1|Vicki|Lewis|MSLIS|
