Election ID|Election Title|Society ID|Start Date|End Date
1|2000 Steering Committee Elections|1|2000-04-20|2000-05-21
2|2001 Board Elections|1|2001-07-21|2001-09-12
3|2002 Council Member Elections|1|2002-02-22|2002-04-03
4|2003 Executive Board Elections|1|2003-10-22|2003-12-06
5|2004 Officer Appointments|1|2004-05-20|2004-07-17
6|2005 Director Elections|1|2005-11-10|2005-12-26
7|2006 Board Elections|1|2006-07-14|2006-08-13
8|2007 Executive Elections|1|2007-08-25|2007-10-17
9|2008 Committee Elections|1|2008-12-10|2009-02-06
10|2009 Council Elections|1|2009-05-22|2009-06-26
11|2010 Executive Director Elections|1|2010-03-07|2010-04-21
12|2011 Chairperson Elections|1|2011-02-18|2011-03-20
13|2012 Committee Elections|1|2012-08-13|2012-10-05
14|2013 Chairperson Elections|1|2013-06-13|2013-07-25
15|2014 Leadership Elections|1|2014-07-06|2014-08-25
16|2015 Governing Body Elections|1|2015-06-16|2015-07-27
17|2016 Officer Selection|1|2016-08-05|2016-09-14
18|2017 Committee Chairperson Elections|1|2017-06-14|2017-08-07
19|2018 Council Presidency Elections|1|2018-05-12|2018-06-18
20|2019 Secretary-General Elections|1|2019-05-25|2019-07-18
21|2020 Executive Elections|1|2020-07-24|2020-09-15
22|2021 Presidential Elections|1|2021-02-26|2021-04-16
23|2022 Management Elections|1|2022-04-28|2022-06-27
24|2023 Management Elections|1|2023-03-22|2023-05-15
25|2024 Chairperson Elections|1|2024-10-26|2024-12-19
26|2000 Board Member Elections|2|2000-05-03|2000-06-12
27|2001 Executive Committee Elections|2|2001-01-30|2001-03-28
28|2002 Presidential Elections|2|2002-05-16|2002-07-05
29|2003 Director General Elections|2|2003-08-17|2003-09-30
30|2004 Executive Committee Elections|2|2004-04-13|2004-05-16
31|2005 President Selection|2|2005-06-09|2005-07-19
32|2006 Steering Committee Elections|2|2006-07-18|2006-09-04
33|2007 Management Elections|2|2007-04-13|2007-05-14
34|2008 Management Elections|2|2008-11-24|2009-01-09
35|2009 Board Member Elections|2|2009-06-10|2009-07-17
36|2010 Executive Committee Elections|2|2010-06-16|2010-07-18
37|2011 Board Chair Elections|2|2011-09-22|2011-11-04
38|2012 Presidential Elections|2|2012-06-16|2012-07-29
39|2013 Directorship Elections|2|2013-10-17|2013-11-21
40|2014 Committee Chairperson Elections|2|2014-09-22|2014-11-04
41|2015 Director General Elections|2|2015-10-13|2015-11-26
42|2016 Board Member Elections|2|2016-10-16|2016-12-15
43|2017 Executive Elections|2|2017-03-11|2017-04-19
44|2018 Steering Committee Elections|2|2018-07-22|2018-09-13
45|2019 Presidential Elections|2|2019-02-22|2019-04-12
46|2020 Steering Committee Elections|2|2020-06-16|2020-08-09
47|2021 Directorship Elections|2|2021-10-08|2021-11-19
48|2022 Presidential Elections|2|2022-08-24|2022-10-03
49|2023 Directorship Elections|2|2023-09-09|2023-11-08
50|2024 Directorship Elections|2|2024-09-26|2024-11-08
51|2000 Committee Elections|3|2000-02-26|2000-04-06
52|2001 Governing Body Elections|3|2001-01-07|2001-02-13
53|2002 Trustee Elections|3|2002-03-13|2002-04-15
54|2003 Management Elections|3|2003-11-20|2003-12-28
55|2004 Council Presidency Elections|3|2004-04-30|2004-06-25
56|2005 Governing Body Elections|3|2005-04-23|2005-06-04
57|2006 Secretary-General Elections|3|2006-07-21|2006-09-04
58|2007 Trustee Elections|3|2007-11-28|2008-01-03
59|2008 Governing Body Elections|3|2008-12-27|2009-02-16
60|2009 Officer Appointments|3|2009-10-08|2009-12-05
61|2010 Chairperson Elections|3|2010-05-01|2010-06-10
62|2011 Trustee Elections|3|2011-02-18|2011-04-16
63|2012 Secretary-General Elections|3|2012-04-05|2012-06-01
64|2013 Officer Appointments|3|2013-04-07|2013-05-27
65|2014 Director Elections|3|2014-09-01|2014-10-22
66|2015 Council Presidency Elections|3|2015-12-13|2016-02-07
67|2016 Officer Selection|3|2016-12-22|2017-02-02
68|2017 Committee Chair Elections|3|2017-09-02|2017-11-01
69|2018 Leadership Elections|3|2018-03-31|2018-05-19
70|2019 Executive Board Elections|3|2019-12-23|2020-02-13
71|2020 Committee Elections|3|2020-05-04|2020-06-17
72|2021 Presidential Elections|3|2021-09-02|2021-10-27
73|2022 Chairperson Selection|3|2022-11-21|2023-01-03
74|2023 Governing Body Elections|3|2023-07-26|2023-08-30
75|2024 Director Elections|3|2024-06-13|2024-07-31
76|2000 Committee Chairperson Elections|4|2000-07-23|2000-08-26
77|2001 Committee Elections|4|2001-01-31|2001-03-15
78|2002 Trustee Elections|4|2002-07-15|2002-09-05
79|2003 Committee Chair Elections|4|2003-09-24|2003-10-30
80|2004 Presidential Elections|4|2004-09-08|2004-10-21
