Society ID|Society Name|Abbreviation|Discipline
1|American Medical Association|AMA|Medicine
2|American Psychological Association|APA|Psychology
3|Institute of Electrical and Electronics Engineers|IEEE|Electrical Engineering
4|American Chemical Society|ACS|Chemistry
5|American Bar Association|ABA|Law
6|American Society of Civil Engineers|ASCE|Civil Engineering
7|American Institute of Architects|AIA|Architecture
8|American Academy of Pediatrics|AAP|Pediatrics
9|American Society of Mechanical Engineers|ASME|Mechanical Engineering
10|American Institute of Chemical Engineers|AIChE|Chemical Engineering
11|American Nurses Association|ANA|Nursing
12|American Physical Society|APS|Physics
13|American Society for Microbiology|ASM|Microbiology
14|American Marketing Association|AMA|Marketing
15|American Mathematical Society|AMS|Mathematics
16|American Society of Clinical Oncology|ASCO|Oncology
17|American Dental Association|ADA|Dentistry
18|American Academy of Family Physicians|AAFP|Family Medicine
19|American College of Cardiology|ACC|Cardiology
20|American Society of Anesthesiologists|ASA|Anesthesiology
21|American Institute of Certified Public Accountants|AICPA|Accounting
22|American Society for Biochemistry and Molecular Biology|ASBMB|Biochemistry and Molecular Biology
23|American Historical Association|AHA|History
24|American Institute of Physics|AIP|Physics
25|American Society of Agricultural and Biological Engineers|ASABE|Agricultural and Biological Engineering
26|American Academy of Orthopaedic Surgeons|AAOS|Orthopaedics
27|American Academy of Dermatology|AAD|Dermatology
28|American Society for Clinical Laboratory Science|ASCLS|Clinical Laboratory Science
29|American Society of Health-System Pharmacists|ASHP|Pharmacy
30|American Society of Hematology|ASH|Hematology
31|American College of Physicians|ACP|Internal Medicine
32|American Academy of Ophthalmology|AAO|Ophthalmology
33|American Society of Human Genetics|ASHG|Human Genetics
34|American Society of Landscape Architects|ASLA|Landscape Architecture
35|American College of Emergency Physicians|ACEP|Emergency Medicine
36|American Society for Nutrition|ASN|Nutrition
37|American Society of Interior Designers|ASID|Interior Design
38|American Urological Association|AUA|Urology
39|American Academy of Neurology|AAN|Neurology
40|American College of Surgeons|ACS|Surgery
41|American Society for Engineering Education|ASEE|Engineering Education
42|American Academy of Pediatrics - Dentistry|AAPD|Pediatric Dentistry
43|American Institute of Aeronautics and Astronautics|AIAA|Aeronautics and Astronautics
44|American Society for Nondestructive Testing|ASNT|Nondestructive Testing
45|American Physical Therapy Association|APTA|Physical Therapy
46|American Society of Nephrology|ASN|Nephrology
47|American College of Sports Medicine|ACSM|Sports Medicine
48|American Society for Cell Biology|ASCB|Cell Biology
49|American Academy of Periodontology|AAP|Periodontology
50|American Geophysical Union|AGU|Geophysics
51|American Anthropological Association|AAA|Anthropology
52|American Academy of Allergy, Asthma & Immunology|AAAAI|Allergy, Asthma & Immunology
53|American Society for Quality|ASQ|Quality Management
54|American Society for Pharmacology and Experimental Therapeutics|ASPET|Pharmacology and Experimental Therapeutics
55|American Society for Reproductive Medicine|ASRM|Reproductive Medicine
56|American College of Rheumatology|ACR|Rheumatology
57|American Association of Colleges of Pharmacy|AACP|Pharmacy Education
58|American Society for Gastrointestinal Endoscopy|ASGE|Gastroenterology
59|American Academy of Forensic Sciences|AAFS|Forensic Science
60|American Society for Clinical Investigation|ASCI|Clinical Investigation
61|American Academy of Child and Adolescent Psychiatry|AACAP|Child and Adolescent Psychiatry
62|American Society for Bioethics and Humanities|ASBH|Bioethics and Humanities
63|American Society for Clinical Pathology|ASCP|Clinical Pathology
64|American Academy of Addiction Psychiatry|AAAP|Addiction Psychiatry
65|American Society of Andrology|ASA|Andrology
66|American Academy of Audiology|AAA|Audiology
67|American Statistical Association|ASA|Statistics
68|American Association of Nurse Practitioners|AANP|Nurse Practitioners
69|American Academy of Cosmetic Dentistry|AACD|Cosmetic Dentistry
70|American Society of Safety Professionals|ASSP|Safety
71|American Academy of Physical Medicine and Rehabilitation|AAPM&R|Physical Medicine and Rehabilitation
72|American Association for Cancer Research|AACR|Cancer Research
73|American College of Healthcare Executives|ACHE|Healthcare Management
74|American Society of Clinical Hypnosis|ASCH|Clinical Hypnosis
75|American Society of Tropical Medicine and Hygiene|ASTMH|Tropical Medicine and Hygiene
76|American Association of Pharmaceutical Scientists|AAPS|Pharmaceutical Sciences
77|American Association of Immunologists|AAI|Immunology
78|American Society of Addiction Medicine|ASAM|Addiction Medicine
79|American Association of Physicists in Medicine|AAPM|Medical Physics
80|American Society of Retina Specialists|ASRS|Retina Specialists
